category,rating,discounted,title,price,image_urls,product_url,sku,img_url
Daily Needs,0 / 5,-27%,Casio MJ-120D Plus Desktop Calculator (Orginal),990,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_mj-120d_plus_desktop_calculator_orginal_1.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/casio-mj-120d-plus-desktop-calculator-orginal.html,CASPRSMJ120DGAD,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_mj-120d_plus_desktop_calculator_orginal_1.jpg
Daily Needs,0 / 5,,Livo Geometry Box Set,150,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/i/livo-3.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/livo-geometry-box-set.html,ZAFLGBASY,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/i/livo-3.jpg
Daily Needs,0 / 5,,Apsara Platinum Extra Dark Pencils 2B,130,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/a/p/apsara-platinum-extra-dark-pencils-2b.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/apsara-platinum-extra-dark-pencils-2b.html,RAMP2BASY,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/a/p/apsara-platinum-extra-dark-pencils-2b.jpg
Daily Needs,0 / 5,,Kangaro Stapler Machine (HD-45N),210,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/a/kangaro-stapler-machine-_hd-45n_.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/kangaro-stapler-machine-hd-45n.html,OMA45NASY,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/a/kangaro-stapler-machine-_hd-45n_.jpg
Entertainment,0 / 5,,Veloce Outrage 605 (2017) Mountain Bike,32000,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/v/e/veloce-outrage-605-2017.jpg,https://www.pickaboo.com/lifestyle-entertainment/auto-vehicle/veloce-outrage-605-2017-road-bike.html,WAS605BCB,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/v/e/veloce-outrage-605-2017.jpg
Entertainment,4.5 / 5,-57%,Kemei Km-590A 7-In-1 Multi-Function Rechargeable Trimmer - Black,949,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km-590a_7-in-1_multi-function_rechargeable_trimmer_-_black-1_1.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-590a-7-in-1-multi-function-rechargeable-trimmer.html,MHNKM591ASGT TS,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km-590a_7-in-1_multi-function_rechargeable_trimmer_-_black-1_1.jpg
Entertainment,0 / 5,-54%,Kemei KM-327 Hair Straightener,599,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-327-2.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-327-hair-straightener.html,ZAF327SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-327-2.jpg
Daily Needs,0 / 5,,Lyra Geometry Box Set,270,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/y/lyra-1.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/lyra-geometry-box-set.html,ZAFLYRASY,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/y/lyra-1.jpg
Entertainment,0 / 5,-50%,Kemei KM-2209 Hair Straightener - Blue and Black,1049,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km-2209_hair_straightener_-_blue_and_black.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-2209-hair-straightener-blue-and-black.html,PRSKM2201SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km-2209_hair_straightener_-_blue_and_black.jpg
Entertainment,0 / 5,-47%,Kemei KM-605 Rechargeable Hair Clipper - Silver,799,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km-605_rechargeable_hair_clipper_-_silver-1_2.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-605-rechargeable-hair-clipper.html,PRSKM605SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km-605_rechargeable_hair_clipper_-_silver-1_2.jpg
Entertainment,0 / 5,-21%,Kemei KM-2219 Hair Straightener,949,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-2219-3_1.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-2219-hair-straightener.html,ZAFKM22SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-2219-3_1.jpg
Entertainment,3 / 5,-37%,Kemei KM-1505 Professional Upgrade Power Hair Clipper,1699,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-1505-1.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-1505-professional-upgrade-power-hair-clipper.html,ZAFKM11SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-1505-1.jpg
Entertainment,0 / 5,-49%,Kemei KM-2512 Cordless Trimmer,590,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-2512-1.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-2512-cordless-trimmer.html,PRS2511SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/m/km-2512-1.jpg
Entertainment,0 / 5,-39%,Kemei Hair Trimmer (KM5) – Black and Red,789,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km5_hair_trimmer_black_and_red_1.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-hair-trimmer-km5-black-and-red.html,PRSKM52SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei_km5_hair_trimmer_black_and_red_1.jpg
Entertainment,0 / 5,,Seventy One Race 18 Inch Kids Bike,6500,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/e/seventy-one-race-orange_1.jpg,https://www.pickaboo.com/lifestyle-entertainment/auto-vehicle/seventy-one-race-18-inch-road-bike.html,WASR18BCB,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/e/seventy-one-race-orange_1.jpg
Daily Needs,5 / 5,-17%,CASIO FX-991MS SCIENTIFIC CALCULATOR (Orginal),1490,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_fx-991ms_scientific_calculator_orginal_3_3.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/casio-fx-991ms-scientific-calculator-orginal.html,CASPRS991MSGAD,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_fx-991ms_scientific_calculator_orginal_3_3.jpg
Entertainment,0 / 5,-48%,Kemei KM-1016 Rechargeable Trimmer-Black,1099,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei-km-1016-trimmer-1.jpg,https://www.pickaboo.com/lifestyle-entertainment/grooming-product/kemei-km-1016-rechargeable-trimmer-black.html,ZAF011SGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/k/e/kemei-km-1016-trimmer-1.jpg
